Contractor,Phone,City,Zip,Permits,Total Sq Ft,Residential,Commercial,Most Recent Permit,Recent Project Addresses
Apex-Multifamily,7372090077,AUSTIN,78704,1,5617,0,1,2026-03-10,3822 AIRPORT BLVD UNIT B
Avanti Pools LLC,5127975380,Leander,78641,1,540,1,0,2026-03-10,84 CHALMERS AVE
Iffat Fatima LLC,5122931773,austin,78752,1,661,1,0,2026-03-09,11908 STOUT OAK TRL
"Advanced Foundation Repair, LP",2106627502,Converse,78109,1,1,1,0,2026-03-09,1511 JERSEY DR
"2450 South Briggs, LLC",5126059711,Cedar Park,78613,1,1314,1,0,2026-03-09,2006 WHELESS LN
"The Brandt Companies, LLC",5128083100,PFLUGERVILLE,78660,1,100,0,1,2026-03-09,3212 E CESAR CHAVEZ ST BLDG 2
"E & C Remodels, LLC",5129211702,Manor,78653,1,3657,1,0,2026-03-09,17313 ENNIS TRL
Madera Custom Homes,5127511442,AUSTIN,78703,1,0,1,0,2026-03-09,1811 ALTA VISTA AVE
Scallon York Custom Pools,5122889909,AUSTIN,78734,1,432,1,0,2026-03-09,6800 LADERA NORTE
"KRS Construction Group,LLC",5125161467,LEANDER,78646,1,1822,0,1,2026-03-09,7797 BURNET RD
Steve Hughes Homes,5128002065,Canyon Lake,78133,1,575,1,0,2026-03-09,813 PARK BLVD
"Tiny Life Construction, LLC",7139069200,AUSTIN,78739,1,1,1,0,2026-03-09,5903 BURROUGH DR
Low Design Office,8327297962,AUSTIN,78704,1,1276,1,0,2026-03-09,5703 DUVAL ST
peavy's Remodeling and Construction LLC,2543344073,Killeen,76547,1,1132,1,0,2026-03-09,1129 MAP ST
Southwest Corporation,5128361552,AUSTIN,78758,1,31687,0,1,2026-03-09,2716 SPIRIT OF TEXAS DR BLDG 6005
"JMEG, LP",5128730022,AUSTIN,78754,1,1720,0,1,2026-03-09,8403 CROSS PARK DR BLDG 2 UNIT D
Cooper Homes,5126335859,AUSTIN,78759,1,1000,1,0,2026-03-09,2412 ALDFORD DR
KAP Media Group LLC,9144504213,New York,10022,1,416,0,1,2026-03-09,604 DRISKILL ST
Meridian Custom Homes,5128099840,AUSTIN,78716,1,350,1,0,2026-03-09,4907 STRASS DR
Blake Hood Inc,3236465755,West Lake Hills,78746,1,100,1,0,2026-03-09,7507 DAUGHERTY ST
Austin Commercial LP,5123069880,AUSTIN,78746,1,2000,0,1,2026-03-09,507 E HOWARD LN BLDG 3
Angler Retail Construction TX LLC,8325591604,Spring,77379,1,1223,0,1,2026-03-09,9021 GOODNIGHT RANCH BLVD UNIT 3110
Jaida Custom Pools L.L.C,5123637955,Hutto,78634,1,48,1,0,2026-03-06,5304 N SCOUT ISLAND CIR
Garcia Tile and More,5129880459,Dale,78616,1,0,1,0,2026-03-06,1218 E 52ND ST
Windows USA,5017600292,Royal,71968,1,1,1,0,2026-03-06,1100 DELANO ST
Friedman General Contracting (),5122304974,AUSTIN,78749,1,750,1,0,2026-03-06,7400 ALBERT RD
Elbow Room,9106507543,San Antonio,78258,1,348,1,0,2026-03-06,11900 PECAN CREEK PKWY BLDG 2
American Restoration,5125450660,Schertz,78154,1,1,1,0,2026-03-06,5307 VILLAGE TRL
"Next Level Foundation and Driveway Solutions, LLC",5129627695,Lockhart,78644,1,1,1,0,2026-03-05,12309 PALOMA BLANCA WAY
DaVinci Pools,7372688413,Austin,78750,1,446,1,0,2026-03-05,5808 TRAILRIDGE DR
T.Locke Construction LLC,5128003775,CEDAR PARK,78613,1,913,1,0,2026-03-05,4105 MC BRINE PL
Mastra Investments LLC,7133924047,Houston,77027,1,1,1,0,2026-03-05,1123 REAGAN TER
Pearson Building,5124061273,Cedar Park,78613,1,237,1,0,2026-03-05,4308 DUVAL ST
Austin Home and Yard,5126892367,AUSTIN,78750,1,683,1,0,2026-03-05,10205 TREASURE ISLAND DR
Legacy Custom Built Inc.,8283186133,LAKEWAY,78734,1,3028,1,0,2026-03-05,4501 WESTLAKE DR BLDG 3
"Monarch Lodge Investment Group, LLC",5126896165,Austin,78746,1,84,1,0,2026-03-05,4701 BOLM RD
3C Construction,5125691652,AUSTIN,78747,1,200,0,1,2026-03-05,5608 COURTYARD DR
Austin M&S Construction LLC,5127890990,AUSTIN,78717,1,1157,1,0,2026-03-05,6801 WENTWORTH DR
PARADISA HOMES LLC,5129256875,AUSTIN,78752,1,0,1,0,2026-03-05,8705 SILVERHILL LN
RenovatePros LLC,5127408528,Austin,78737,1,260,1,0,2026-03-05,4400 ADELPHI LN
"RiverHill Commercial, LLC",5129778711,AUSTIN,78749,1,4308,0,1,2026-03-05,13450 N US 183 HWY SVRD SB UNIT 234
Supernova Electrical and Contractor LLC,5128297614,Austin,78702,1,600,0,1,2026-03-05,5325 AIRPORT BLVD UNIT 100
Amherst Construction,8138339373,AUSTIN,78746,1,0,1,0,2026-03-05,303 TERRACE DR
REH ONE LLC,5126197969,Austin,78733,1,2131,1,0,2026-03-05,11403 CIRCLE BEND DR
MDG Construction LLC,5128397168,AUSTIN,78705,1,2920,0,1,2026-03-05,78 RAINEY ST
National Renovations LLC dba Repipe Specialists,8182771673,Burbank,91502,1,50000,0,1,2026-03-05,501 WEST AVE
Service Company of San Antonio LLC dba Mr Electric of Austin,2103472299,AUSTIN,78723,1,30000,0,1,2026-03-04,1801 E 6TH ST
Fine Finish ATX,5126980085,AUSTIN,78735,1,31,1,0,2026-03-04,2508 ANN ARBOR AVE
2400 Construction LLC,5126562163,AUSTIN,78702,1,11600,0,1,2026-03-04,4706 E 5TH ST
BPG Construction,5122022258,AUSTIN,78748,1,2000,0,1,2026-03-04,3311 RED RIVER ST
Apex Custom Pools,5126692320,Horseshoe Bay,78657,1,420,1,0,2026-03-04,1707 WESTMOOR DR
"Backyard Pod, LLC",5124004265,Austin,78744,1,595,1,0,2026-03-04,10404 TALLEYRAN DR
Russell Beach Restoration,5129649154,AUSTIN,78744,1,180,0,1,2026-03-04,3200 GRANDVIEW ST UNIT V8
GB IV Designs,5129060186,BEE CAVE,78738,1,534,1,0,2026-03-04,8304 FOREST HEIGHTS LN
Aletta van der Walt LLC,5124134433,AUSTIN,78717,1,270,1,0,2026-03-04,15019 TERRA VERDE DR
O & D Builders,512541603,Hutto,78634,1,500,0,1,2026-03-04,2909 E 12TH ST
Dalgleish Construction Company,5123468554,Austin,78759,1,0,1,0,2026-03-04,2015 WESTLAKE DR
Lone Star Growth Equity,5122531724,AUSTIN,78701,1,665,0,1,2026-03-04,1614 E 6TH ST UNIT 110
"BAE electric, LLC",7373748870,Round Rock,78664,1,5000,0,1,2026-03-04,115 E ST ELMO RD UNIT A
"Swimscapes, LLC",8172912733,Azle,76020,1,1890,0,1,2026-03-03,4605 S PLEASANT VALLEY RD
New Wave Pools Inc,5126993193,ROUND ROCK,78681,1,3800,0,1,2026-03-03,610 CRIMSON VINEYARD DR
Bird Creek Roofing and Construction,6783785123,Belton,76513,1,1,1,0,2026-03-03,5806 NORTH HAMPTON DR
Highland Homes,9727893500,AUSTIN,78737,1,3654,1,0,2026-03-03,8812 FALLKILL DR
Hausman Homes,5125634447,AUSTIN,78734,1,4541,1,0,2026-03-03,2003 BIG HORN DR
WeaveHomes Development LLC,7572880496,AUSTIN,78702,1,0,1,0,2026-03-03,2712 E 22ND ST
JP Exteriors,5129659191,AUSTIN,78754,1,324,1,0,2026-03-03,2808 MONTEBELLO RD UNIT 4
Haven Blue Development LLC,5128484056,Austin,78735,1,320,1,0,2026-03-03,4609 SINCLAIR AVE
Swinerton Builders Inc.,5123275599,Austin,78746,1,36546,0,1,2026-03-03,3700 CONVICT HILL RD
"KS Wright Enterprises, LLC DBA TWT Exteriors",5128783892,AUSTIN,78738,1,532,1,0,2026-03-03,8300 SPICEWOOD SPRINGS CV
Sitelog IQ,8555816464,Minneapolis,55402,1,8,0,1,2026-03-03,12349 METRIC BLVD
Taniguchi Constructon Services,5124747079,Austin,78703,1,1,1,0,2026-03-03,8413 BANGOR BND
Best Austin Handyman,5126533945,AUSTIN,78758,1,300,1,0,2026-03-03,7105 FRED MORSE DR
Citadel Development Services LLC,2142051146,AUSTIN,78750,1,3026,0,1,2026-03-03,7010 W SH 71 UNIT 185
Habitat Haus LLC,2102376328,AUSTIN,78735,1,4190,1,0,2026-03-03,1909 PAYNE AVE
Top Tier Construction ATX,5123091240,AUSTIN,78729,1,1,1,0,2026-03-03,2707 PRINCETON DR
Canyon Construction,5129154545,Westlake Hills,78746,1,1,1,0,2026-03-03,11003 GRAPEVINE LN
Hongyun Construction LLC,7372030616,Round Rock,78681,1,1046,1,0,2026-03-03,11100 WINTERGREEN HILL
JB Wier Construction,7132994815,AUSTIN,78729,1,200,1,0,2026-03-03,11307 YUCCA DR
CL JONES CONSTRUCTION,5122500175,AUSTIN,78758,1,4268,0,1,2026-03-03,12007 RESEARCH BLVD SVRD NB
montys,8322598368,AUSTIN,78727,1,90,1,0,2026-03-03,4507 RAMSEY AVE
Golden Build Company,5125680119,Round Rock,78665,1,1597,1,0,2026-03-02,3505 GREENWAY
Austin Lakescapes LLC,2547806971,Leander,78641,1,2300,1,0,2026-03-02,2201 MANANA ST BLDG BD
"Jerry Kachel Builders, Inc",5025232922,Spring,77379,1,0,0,1,2026-03-02,5010 W US 290 HWY WB
Zuda Construction,5126628632,AUSTIN,78748,1,1130,1,0,2026-03-02,605 E 47TH ST
Chad Donnelly,3038820145,Austin,78702,1,1,1,0,2026-03-02,1621 GARDEN ST
Better Built Enterprises Inc,2104925437,San Antonio,78232,1,100,0,1,2026-03-02,12900 N IH 35 SVRD SB
I & E Construction & Remodel,2542200862,Salado,76571,1,1,1,0,2026-03-02,4704 MARBLEHEAD DR
Outdoor Elements,7139550990,Houston,77038,1,2205,0,1,2026-03-02,1125 SHADY LN
Stack & Standard,5128001000,AUSTIN,78731,1,3441,1,0,2026-03-02,4605 AVENUE F
DP Weber,5125079939,AUSTIN,78759,1,394,1,0,2026-03-02,8301 WEYBURN DR
Perfection Roofing Company,7374031477,Georgetown,78628,1,26000,0,1,2026-03-02,800 BANISTER LN
Maloba Builders and Services,5124961611,AUSTIN,78741,1,3210,0,1,2026-03-02,11515 BURNET RD UNIT 780
TAYLOR CHELSEA R,5125526853,AUSTIN,78721 3326,1,88,1,0,2026-03-02,914 KOERNER LN
Modern Homes ATX,4692263609,AUSTIN,78704,1,30,1,0,2026-03-01,4607 AVENUE B BLDG B
Hogan & Associates,3143239897,CEDAR PARK,78613,1,1400,1,0,2026-02-27,2101 STAMFORD LN
Armadillo Foundation Repair,5123852123,DEL VALLE,78617,1,1,1,0,2026-02-27,5107 STONE GATE DR
PREACHER LLC,5125858731,Austin,78704,1,400,0,1,2026-02-27,205 E RIVERSIDE DR
"C.E. Gleeson Constructors, Inc.",2486475500,Troy,48083,1,34782,0,1,2026-02-27,3101 E YAGER LN BLDG 1
Ando & Argueta Construction and Remodeling,5128843399,Cedar Park,78613,1,200,1,0,2026-02-27,7804 GAULT ST
ABC Home and Commercial Services,5128379500,Austin,78724,1,1,1,0,2026-02-27,7308 CAVE HOLW
Art Village LLC,5122994069,Lakeway,78734,1,50,0,1,2026-02-27,2620 PERSEVERANCE DR
"Luma Exteriors, LLC",5122011818,AUSTIN,78738,1,1,1,0,2026-02-27,1617 HOLLY ST
"South Austin Development Group, LLC",4693966409,AUSTIN,78739,1,4720,1,0,2026-02-27,10724 CANFIELD DR
Jackson Consultants,2817809097,Houston,77002,1,11139,0,1,2026-02-27,400 LAVACA ST
"Texas Home Redevelopment, LLC",5127660543,AUSTIN,78745,1,2081,1,0,2026-02-27,5708 NANCY DR BLDG 1
Bodhi Group LLC,5124198020,AUSTIN,78750,1,0,1,0,2026-02-26,2000 E 10TH ST
AtxMigos Custom Paint & Remodeling LLC.,5129473636,AUSTIN,78737,1,555,1,0,2026-02-26,2507 EL GRECO CV
Clients First Landscape Solutions,4695319071,Rockwall,75032,1,3500,0,1,2026-02-26,2611 E BRAKER LN
Andrew's Construction,512,AUSTIN,78754,1,1504,0,1,2026-02-26,11800 DESSAU RD BLDG 3 UNIT 300
House Doctors Handyman of Austin,5122972323,AUSTIN,78723,1,1,1,0,2026-02-26,6605 BEAUFORD DR
"XYZ ROOFCO, LLC",6787455408,Duluth,30096,1,1,1,0,2026-02-26,8206 LORALINDA DR
Bat City Builders LLC,5126880953,Georgetown,78628,1,1609,1,0,2026-02-26,1506 PRINCETON AVE
UTZ Environmental Services,5125289696,Leander,78648,1,800,0,1,2026-02-26,6321 1/2 MC MURTRY ST
American YouthWorks,51274419001323,AUSTIN,78741,1,590,0,1,2026-02-26,1901 E BEN WHITE BLVD SVRD EB
Novium Group LLC,5127672478,AUSTIN,78748,1,17595,0,1,2026-02-26,3701 WOODBURY DR
"On-Call Management Services, Inc",5122881564,Austin,78747,1,1,1,0,2026-02-26,1019 WALTER ST
ALL CLEAR POOLS,2819248191,HOUSTON,77081,1,368,0,1,2026-02-26,2400 SAN GABRIEL ST
"Level Up Commercial, LLC",5128312279,Driping Springs,78620,1,1926,0,1,2026-02-26,1600 W 38TH ST UNIT 318
GJ Turner Realty LLC,5123673542,AUSTIN,78723,1,1450,1,0,2026-02-25,7004 FRED MORSE DR
JS Precision Services LLC,5123783900,Taylor,76574,1,70,1,0,2026-02-25,8701 MILLWAY DR
Omar Zavala Contractor,4046108256,Rabun Gap,30568,1,50,0,1,2026-02-25,1804 W RUNDBERG LN BLDG B
Yard Life Pools LLC,5125205005,AUSTIN,78752,1,420,1,0,2026-02-25,1809 PIEDMONT AVE
"Drees Custom Homes, L.P.",5122417133,AUSTIN,78726,1,7025,1,0,2026-02-25,10500 FOUNDATION RD
Airco Mechanical LTD,5128372917,ROUND ROCK,78681,1,1000,0,1,2026-02-25,9300 W SH 71
i-Build Solutions LLC,5125886061,Burnet,78611,1,1070,1,0,2026-02-25,8408 STILLWOOD LN
"Classic Constructors, LP",5124021660,Austin,78734,1,784,0,1,2026-02-25,311 W 5TH ST UNIT 1106
FrontStreet Facility Solutions,6317504075,AUSTIN,11716,1,500,0,1,2026-02-25,5234 W US 290 HWY WB
Hentana Construction LLC,2105200066,San Antonio,78216,1,14600,0,1,2026-02-25,4424 GAINES RANCH LOOP BLDG 5
JF Petroleum Group,9566869582,Edinburg,78502,1,1824,0,1,2026-02-25,16528 N IH 35 SVRD SB
Parker Electric,5128369779,Austin,78754,1,6900,0,1,2026-02-25,105 E 5TH ST UNIT 200
"Majestic Poolscapes, Inc.",5124020011,LIBERTY HILL,78642,1,508,1,0,2026-02-25,4905 CHINA GARDEN DR
JVC Construction & Remodeling,6198406129,Austin,78748,1,399,1,0,2026-02-25,2013 BLUEBONNET LN BLDG 2
"Trinity Exterior Group, LP",5129389082,Friendswood,78840,1,1,1,0,2026-02-25,5003 S PLEASANT VALLEY RD BLDG A
S. Kelly Home Renovations DBA Skelly Build,8173713524,Austin,78745,1,32150,0,1,2026-02-25,54 RAINEY ST
Centex General Contractors,5125548303,AUSTIN,78758,1,210,0,1,2026-02-25,2829 S LAKELINE BLVD
Pecan Valley Homes LLC,5128442152,Austin,78732,1,1452,1,0,2026-02-24,4422 HANK AVE
Keith Zars Pools,2104940800,San Antonio,78232,1,170,1,0,2026-02-24,3701 BALCONES DR
ZCWG LLC,5122894177,AUSTIN,78737,1,533,1,0,2026-02-24,5003 WEST FRANCES PL
"Braun & Butler Construction, Inc.",5128372882,Cedar Park,78613,1,1196,0,1,2026-02-24,6937 N IH 35 SVRD NB
A R Lucas Construction LLC,5129653773,AUSTIN,78751,1,2324,1,0,2026-02-24,2612 W 49TH ST
"Summit Properties and Development Co., LLC",2486254711,Clarkston,48346,1,4628,0,1,2026-02-24,9901 N CAPITAL OF TEXAS HWY NB UNIT 300
Chinatown Center,5125028888,Austin,78730,1,768,0,1,2026-02-24,10901 N LAMAR BLVD
Advanced Construction and Remodeling,5129667136,Liberty Hill,78642,1,1620,1,0,2026-02-24,2306 STANDISH DR
GGV Construction LLC,5128260996,Cedar Creek,78612,1,3235,1,0,2026-02-24,10405 WOMMACK RD
Maas Verde Landscape Restoration LLC,5125888173,AUSTIN,78737,1,225,0,1,2026-02-24,2020 1/2 BARTON SPRINGS RD
Built Well,5127855704,AUSTIN,78703,1,500,1,0,2026-02-24,4601 RIDGE OAK DR
Yorkshire Federal,9038823761,Lindale,75771,1,1500,0,1,2026-02-24,701 CONGRESS AVE
"Trimbuilt Construction, Inc.",5128321979,AUSTIN,78708,1,1525,0,1,2026-02-24,323 CONGRESS AVE
Vig Casa LLC,7134924747,AUSTIN,78759,1,530,1,0,2026-02-23,4207 CANYONSIDE TRL
Dennis Kashkin,5129662608,Austin,78749,1,1,1,0,2026-02-23,5510 HITCHER BND
"Storage Solutions, Inc",3173992144,AUSTIN,46074,1,17566,0,1,2026-02-23,840 INTERCHANGE BLVD
J Kennedy Customs,2104804721,San Antonio,78230,1,1456,0,1,2026-02-23,1007 E 7TH ST
Andonie Construction LLC,7134710384,Austin,78701,1,1,1,0,2026-02-23,14324 PADBROOK PARK CV
ABY General Contractor,9402082076,ROUND ROCK,78664,1,4208,0,1,2026-02-23,98 SAN JACINTO BLVD UNIT FSR2401
Bestex Solutions LLC,5127972984,HUTTO,78634,1,1,1,0,2026-02-23,11206 BRUNT DR
Sol Solution TX LLC,8177177450,AUSTIN,78731,1,1362,0,1,2026-02-23,3106 E 14TH HALF ST
"Tlacuillo, LLC.",5122478452,DEL VALLE,78617,1,190,1,0,2026-02-23,7208 ALEGRE PASS
Renaissance Contracting LLC,5126919047,Austin,78750,1,240,1,0,2026-02-23,500 ARBOR LN
Garcia General Contracting,5127393707,AUSTIN,78732,1,1853,1,0,2026-02-23,5608 CRAGGY PT
Quality Texas Remodeling LLC,5129648960,ELGIN,78621,1,0,1,0,2026-02-23,1114 W 10TH ST
Vitek Mcliver Homes,5129538450,Austin,78731,1,3501,1,0,2026-02-23,6010 MARQUESA DR
AGC Home LLC,5128225808,Austin,,1,215,1,0,2026-02-23,6002 MOUNT BONNELL CV
Greenhills Construction,512,Austin,78737,1,897,0,1,2026-02-23,7710 N FM 620 RD BLDG 13C UNIT 240
LP Marlowe,2106487663,ADKINS,78101,1,25562,0,1,2026-02-23,4700 BURLESON RD
Foursquare Builders LLC,5127512758,AUSTIN,78703,1,3799,1,0,2026-02-23,6917 CIELO AZUL PASS
Ivy Retreat Properties,5129196105,AUSTIN,78749,1,999,1,0,2026-02-22,503 NORMANDY ST
Modern Craft Builders,5128651400,Austin,78735,1,480,1,0,2026-02-21,3809 LEAFIELD DR
"Upper Shield Roofing, LLC",5122817008,AUSTIN,78731,1,1,1,0,2026-02-20,13601 HYMEADOW CIR
Jenkins Restorations,5122568618,AUSTIN,78744,1,2212,1,0,2026-02-20,2606 LANSBURY DR
JS2 Partners LLC.,8305982949,Horseshoe,78657,1,3565,1,0,2026-02-20,8600 BELL MOUNTAIN DR
Besa Builders,5128253950,DRIPPING SPRINGS,78620,1,540,1,0,2026-02-20,6709 QUINCY CV
Numinous Homes,512,Houston,77002,1,5503,1,0,2026-02-20,136 FREDERICK ST
Robles1 LLC,5128489745,AUSTIN,,1,0,0,1,2026-02-20,7113 FM 969 RD
Watermark Homes By David Bratton,5122339301,AUSTIN,78751,1,1,1,0,2026-02-20,1410 E 11TH ST
Rogers-O'Brien Construction,2146088512,AUSTIN,78704,1,72868,0,1,2026-02-20,8000 METROPOLIS DR BLDG D
Keepers Land Planning,5125205388,Round Rock,78683,1,200,1,0,2026-02-20,4600 FINLEY DR
Centex Construction,5129235066,AUSTIN,78738,1,825,0,1,2026-02-20,3201 ESPERANZA XING
Bailey & Bear Construction,5126898346,AUSTIN,78723,1,797,0,1,2026-02-20,502 W OLTORF ST
Diamond Home and Commercial Services LLC,6822348441,BUDA,78610,1,1,1,0,2026-02-20,905 SPEER LN
Flynn Construction,5124407643,Austin,78745,1,12787,0,1,2026-02-20,12221 N MOPAC EXPY SVRD NB
Anthony & Sylvan Pools Corporation,8303608543,AUSTIN,78750,1,499,1,0,2026-02-20,1425 MORNING MOON CIR
Mint Builders LLC,5123640921,Austin,78717,1,1200,1,0,2026-02-19,7516 ST CECELIA ST
Med Tech Construction,5124962888,SAN ANTONIO,78209,1,2218,0,1,2026-02-19,12800 PEARCE LN UNIT 200
Austin Home Renovations,5128924490,AUSTIN,78709,1,1055,1,0,2026-02-19,7307 HARTNELL DR BLDG 2
Kosel AC & Heating Inc,5123377047,,,1,400,1,0,2026-02-19,3305 1/2 SPEEDWAY
Sunshine Renewable Solutions(GC),8322808838,Houston,77059,1,978,0,1,2026-02-19,900 SPRINGDALE RD
DNA Builds LLC,9564544337,HUTTO,78634,1,1658,1,0,2026-02-19,2011 OXFORD AVE
Wheels on Texas,5127090724,DEL VALLE,78617,1,1,1,0,2026-02-19,6712 MARBLE CREEK LOOP
Lottie Johson,4096827714,Austin,78757,1,300,1,0,2026-02-19,2703 BENBROOK DR
Austin Painting and Cabinets,5127639976,Austin,78754,1,1,1,0,2026-02-19,10809 YORKTOWN TRL
"Kopathean Electric, LLC",8306135923,Blanco,78606,1,615,0,1,2026-02-19,11630 FOUR IRON DR
C Haynes Construction,5124301002,Driftwood,78619,1,1150,1,0,2026-02-19,3917 SHAVANO DR
Waterview Custom Pools LLC,5127849520,AUSTIN,78727,1,325,1,0,2026-02-18,3701 HUMBLE CV
Stacy Paulson Design,5124310401,AUSTIN,78757,1,138,1,0,2026-02-18,4526 AVENUE F
Fontanet Weston LLC,5129923490,AUSTIN,78726,1,535,1,0,2026-02-18,8701 COLLINGWOOD DR BLDG 2
ACS Commercial Services LLC,8324849700,Houston,77065,1,3942,0,1,2026-02-18,4200 W BRAKER LN BLDG A
"Tri-County Pools Service, LP",5129908899,AUSTIN,78728,1,512,1,0,2026-02-18,3310 BOWMAN AVE
Akshar Construction LLC,6402348888,ROUND ROCK,78681,1,1900,0,1,2026-02-18,3500 E PARMER LN UNIT 12155
"Expert Repair Service, Inc.",5124583858,Austin,78723,1,1,1,0,2026-02-18,2123 BRUNSWICK DR
"Sanctuary Builders of Texas, Inc",5124689603,Wimberley,78676,1,516,1,0,2026-02-18,6801 JESTER BLVD
Kopfer Taylor Interiors,9728410595,AUSTIN,78703,1,850,0,1,2026-02-18,1801 LAVACA ST UNIT 2L
Q Construction Solutions,8447784257,Austin,78756,1,218,1,0,2026-02-18,10604 MARBURY CT
Precise Properties,5128010711,PFLUGERVILLE,78660,1,125,1,0,2026-02-18,1902 GREENWOOD AVE BLDG 3
Blue Wizard Homes LLC,5123673172,AUSTIN,78724,1,4316,1,0,2026-02-18,1804 CULLEN AVE
Luke Parsons Design and Build,7372984555,AUSTIN,78731,1,160,1,0,2026-02-18,3306 DUVAL ST
Maldonado's Innovation LLC,5128768806,LEANDER,78641,1,2264,1,0,2026-02-18,5203 RATON PASS
ABR Renovations LLC,5125898019,AUSTIN,78748,1,1,1,0,2026-02-18,6402 CRAIGWOOD CIR
Tony's Roofing Services,2544152744,Copperas Cove,76522,1,1,1,0,2026-02-17,2609 OAK CREST AVE
Structure Tone,512,Austin,78730,1,1012,0,1,2026-02-17,11800 ALTERRA PKWY UNIT FLR13
ICS Quality Homes,5122969547,HUTTO,78634,1,1,1,0,2026-02-17,4003 WRIGHTWOOD RD
Guevara G Construction LLC,7373501425,Red Rock,78662,1,2562,1,0,2026-02-17,2620 PECOS ST
"Bach Land Development, LLC",8135598555,Tampa,33607,1,32,1,0,2026-02-17,6600 ELM CREEK DR UNIT 86
Lucent Recovery and Wellness,5129818140,Austin,78727,1,3600,0,1,2026-02-17,4807 SPICEWOOD SPRINGS RD BLDG 3 UNIT 250
"ICON Builders, LLC",8173131543,Houston,77046,1,77700,0,1,2026-02-17,5516 HUMMING BIRD LN
Done Right Foundation Repair,5125718873,AUSTIN,78701,1,1,1,0,2026-02-17,817 GLEN OAK DR
Blue Bottom Pool & Spa Supply,5124369572,AUSTIN,,1,338,1,0,2026-02-17,9016 CHRYSLER BND
"RISE Collective, LLC",2149527501,Huntsville,77340,1,4385,0,1,2026-02-17,7009 E WILLIAM CANNON DR
The Whiting-Turner Contracting Company,5126341429,AUSTIN,78759,1,12000,0,1,2026-02-17,3600 PRESIDENTIAL BLVD
Owrey Construction,2814071282,Spring,77379,1,12612,0,1,2026-02-17,3520 COMSOUTH DR UNIT 100
Kentex Roofing Systems,5124919000,Austin,78758,1,15400,0,1,2026-02-17,13450 N US 183 HWY SVRD SB
MarinaBioLab,2817285304,CEDAR PARK,78613,1,1477,0,1,2026-02-17,12411 HYMEADOW DR UNIT 3
